Type,ID,Name,Subgroup,n,Mean (SE),KW test Padj,Dunn's test Padj (MARD vs MOD),Dunn's test Padj (MARD vs SIDD),Dunn's test Padj (MOD vs SIDD),Dunn's test Padj (MARD vs SIRD),Dunn's test Padj (MOD vs SIRD),Dunn's test Padj (SIDD vs SIRD)
CLN,ALT,Alanine aminotransferase (U/L),SIDD,268,22.96 (0.67),1.14388682548386e-17,3.29457330560473e-08,0.421057083982622,1.8004480567276902e-09,2.3308998331108196e-11,0.0320791289382609,2.16810093736063e-12
CLN,ALT,Alanine aminotransferase (U/L),MARD,310,24.01 (0.7),,,,,,,
CLN,ALT,Alanine aminotransferase (U/L),MOD,163,30.54 (1.14),,,,,,,
CLN,ALT,Alanine aminotransferase (U/L),SIRD,85,38.02 (2.3),,,,,,,
CLN,AST,Aspartate aminotransferase (U/L),SIDD,268,19.76 (0.43),2.3631163924330197e-12,0.111875733107783,0.0025519076903941,7.31354024726439e-05,1.52674332056437e-07,0.0001874869256435,7.192648037863919e-13
CLN,AST,Aspartate aminotransferase (U/L),MARD,310,21.49 (0.45),,,,,,,
CLN,AST,Aspartate aminotransferase (U/L),MOD,163,22.63 (0.7),,,,,,,
CLN,AST,Aspartate aminotransferase (U/L),SIRD,85,30.88 (1.77),,,,,,,
CLN,BUN,Blood urea nitrogen (mmol/L),SIDD,268,5.35 (0.09),0.572535410702005,0.940878043114275,0.881453480616998,0.904575305270623,0.977574416746849,0.901206592895485,0.884520517002682
CLN,BUN,Blood urea nitrogen (mmol/L),MARD,310,5.28 (0.08),,,,,,,
CLN,BUN,Blood urea nitrogen (mmol/L),MOD,163,5.12 (0.11),,,,,,,
CLN,BUN,Blood urea nitrogen (mmol/L),SIRD,85,5.26 (0.13),,,,,,,
CLN,CKMB,"Creatine kinase, MB form",SIDD,232,15.21 (0.47),0.4811925053533,0.853779670522466,1.0,1.0,0.434196920880396,0.454420043390769,0.691535631491836
CLN,CKMB,"Creatine kinase, MB form",MARD,268,15.31 (0.64),,,,,,,
CLN,CKMB,"Creatine kinase, MB form",MOD,146,14.49 (0.4),,,,,,,
CLN,CKMB,"Creatine kinase, MB form",SIRD,75,13.75 (0.57),,,,,,,
CLN,EGFR,eGFR (mL/min per 1.73 m-2),SIDD,268,99.12 (1.14),1.86177764183898e-06,1.16916644130311e-06,0.0019867179473561,0.0318024059292205,0.645061726653994,0.0024962159322631,0.0955212358249522
CLN,EGFR,eGFR (mL/min per 1.73 m-2),MARD,310,93.4 (1),,,,,,,
CLN,EGFR,eGFR (mL/min per 1.73 m-2),MOD,163,103.66 (1.59),,,,,,,
CLN,EGFR,eGFR (mL/min per 1.73 m-2),SIRD,85,94.33 (1.83),,,,,,,
CLN,FFA,Free fatty acids (mmol/L),SIDD,268,0.49 (0.01),0.368434650805028,1.0,0.649688062710851,0.414339923944602,0.92723179366929,1.0,0.648024370613568
CLN,FFA,Free fatty acids (mmol/L),MARD,310,0.51 (0.01),,,,,,,
CLN,FFA,Free fatty acids (mmol/L),MOD,163,0.51 (0.02),,,,,,,
CLN,FFA,Free fatty acids (mmol/L),SIRD,85,0.5 (0.02),,,,,,,
CLN,FINS,Fasting insulin (mU/L),SIDD,268,8.67 (0.22),8.657031595560341e-76,9.69557050535427e-21,0.0011871406017184,3.77477022040197e-32,1.5003264135219e-46,1.92241925483834e-10,3.1914336190423e-59
CLN,FINS,Fasting insulin (mU/L),MARD,310,9.91 (0.23),,,,,,,
CLN,FINS,Fasting insulin (mU/L),MOD,163,15.05 (0.38),,,,,,,
CLN,FINS,Fasting insulin (mU/L),SIRD,85,27.84 (0.9),,,,,,,
CLN,FPG,Fasting plasma glucose (mmol/L),SIDD,268,10.15 (0.13),4.71915246130434e-17,0.0078584620186282,1.10745531948972e-16,1.9667025839943e-05,0.869419181803868,0.0360560352534533,1.39551248733842e-08
CLN,FPG,Fasting plasma glucose (mmol/L),MARD,310,8.75 (0.11),,,,,,,
CLN,FPG,Fasting plasma glucose (mmol/L),MOD,163,9.28 (0.17),,,,,,,
CLN,FPG,Fasting plasma glucose (mmol/L),SIRD,85,8.78 (0.24),,,,,,,
CLN,HB,Hemoglobin (g/L),SIDD,268,149.19 (0.94),0.0004258303972043,0.0003038159092182,0.0098708105415106,0.208579383873068,0.0829649927690607,0.344219419878695,0.97150434385721
CLN,HB,Hemoglobin (g/L),MARD,310,146.24 (0.86),,,,,,,
CLN,HB,Hemoglobin (g/L),MOD,163,150.48 (1.33),,,,,,,
CLN,HB,Hemoglobin (g/L),SIRD,85,149.04 (1.48),,,,,,,
CLN,HCT,Hematocrit (%),SIDD,268,43.85 (0.24),0.0004744806501772,0.0002612868322894,0.0550943939086043,0.0680124495744862,0.0381615246808254,0.50077279658407,0.468263504816276
CLN,HCT,Hematocrit (%),MARD,310,43.17 (0.22),,,,,,,
CLN,HCT,Hematocrit (%),MOD,163,44.53 (0.33),,,,,,,
CLN,HCT,Hematocrit (%),SIRD,85,44.22 (0.39),,,,,,,
CLN,HDLC,HDL-cholesterol (mmol/L),SIDD,267,1.18 (0.02),4.25275789178422e-13,7.523307853031609e-11,0.0569094167982174,1.66041722971425e-06,1.66643337289801e-07,0.941832495243203,9.04174594710451e-05
CLN,HDLC,HDL-cholesterol (mmol/L),MARD,310,1.23 (0.02),,,,,,,
CLN,HDLC,HDL-cholesterol (mmol/L),MOD,163,1.05 (0.02),,,,,,,
CLN,HDLC,HDL-cholesterol (mmol/L),SIRD,85,1.04 (0.03),,,,,,,
CLN,HSCRP,Hypersensitive C-reactive protein (mg/L),SIDD,244,3.02 (0.4),0.0001149222957539,0.0030204428451401,0.616803665849388,0.0019117110148516,0.002951272627388,0.627770289746453,0.0032871838461013
CLN,HSCRP,Hypersensitive C-reactive protein (mg/L),MARD,287,2.38 (0.21),,,,,,,
CLN,HSCRP,Hypersensitive C-reactive protein (mg/L),MOD,143,3.17 (0.25),,,,,,,
CLN,HSCRP,Hypersensitive C-reactive protein (mg/L),SIRD,78,3.57 (0.54),,,,,,,
CLN,LDLC,LDL-cholesterol (mmol/L),SIDD,267,2.91 (0.05),0.0291206558323071,0.28142725017749,0.12904587545184,0.0171660116975263,0.923474470535855,0.464466925569115,0.293522878162063
CLN,LDLC,LDL-cholesterol (mmol/L),MARD,310,2.78 (0.05),,,,,,,
CLN,LDLC,LDL-cholesterol (mmol/L),MOD,163,2.66 (0.06),,,,,,,
CLN,LDLC,LDL-cholesterol (mmol/L),SIRD,85,2.75 (0.09),,,,,,,
CLN,PBG,Two-hours postprandial blood glucose (mmol/L),SIDD,268,17.47 (0.21),5.97731263817705e-19,0.917823784912129,9.36218038434904e-14,1.1011123859480901e-10,0.0362625985882599,0.0560297559786944,5.13755398459913e-13
CLN,PBG,Two-hours postprandial blood glucose (mmol/L),MARD,309,15.28 (0.2),,,,,,,
CLN,PBG,Two-hours postprandial blood glucose (mmol/L),MOD,163,15.26 (0.25),,,,,,,
CLN,PBG,Two-hours postprandial blood glucose (mmol/L),SIRD,85,14.33 (0.32),,,,,,,
CLN,PLT,Platelet count (109/L),SIDD,268,213.18 (3.58),0.0001149222957539,0.0029595488527677,0.216201278023317,8.77465592361649e-05,0.127322219360734,0.420521342177839,0.0190438942595739
CLN,PLT,Platelet count (109/L),MARD,310,220.56 (3.36),,,,,,,
CLN,PLT,Platelet count (109/L),MOD,163,238.11 (4.3),,,,,,,
CLN,PLT,Platelet count (109/L),SIRD,85,231.06 (6.62),,,,,,,
CLN,RBC,Erythrocyte count (1012/L),SIDD,268,5 (0.03),1.18235219820001e-08,1.8220138934474602e-09,0.0011899350199613,0.003167538197023,0.009905119943682,0.0463737124632943,0.765684296146688
CLN,RBC,Erythrocyte count (1012/L),MARD,310,4.86 (0.03),,,,,,,
CLN,RBC,Erythrocyte count (1012/L),MOD,163,5.13 (0.04),,,,,,,
CLN,RBC,Erythrocyte count (1012/L),SIRD,85,4.99 (0.04),,,,,,,
CLN,SCR,Serum creatinine (μmol/L),SIDD,268,69.02 (0.83),0.851907118096087,1.0,1.0,0.968525579360286,1.0,1.0,1.0
CLN,SCR,Serum creatinine (μmol/L),MARD,310,70.51 (0.87),,,,,,,
CLN,SCR,Serum creatinine (μmol/L),MOD,163,69.4 (1.17),,,,,,,
CLN,SCR,Serum creatinine (μmol/L),SIRD,85,70.25 (1.49),,,,,,,
CLN,TBIL,Total bilirubin (μmol/L),SIDD,268,11.44 (0.3),0.296744848263275,0.481558433353615,0.721105844231007,0.41078634234977,0.387764785481365,0.60289713032032,0.500400550366441
CLN,TBIL,Total bilirubin (μmol/L),MARD,310,11.29 (0.27),,,,,,,
CLN,TBIL,Total bilirubin (μmol/L),MOD,163,10.88 (0.36),,,,,,,
CLN,TBIL,Total bilirubin (μmol/L),SIRD,85,10.54 (0.54),,,,,,,
CLN,TC,Total cholesterol (mmol/L),SIDD,267,4.94 (0.06),0.162617407212503,0.448820677809911,0.395475223490978,0.115251920981376,0.86580789270164,0.462878914471631,0.671658305714272
CLN,TC,Total cholesterol (mmol/L),MARD,310,4.87 (0.06),,,,,,,
CLN,TC,Total cholesterol (mmol/L),MOD,163,4.71 (0.07),,,,,,,
CLN,TC,Total cholesterol (mmol/L),SIRD,85,4.85 (0.1),,,,,,,
CLN,TG,Triacylglycerol (mmol/L),SIDD,267,1.97 (0.09),1.64597645139593e-06,0.002427742321446,0.656550643348998,0.0082582282633945,8.51092510603752e-06,0.0457742425112189,2.6636677789498e-05
CLN,TG,Triacylglycerol (mmol/L),MARD,310,1.95 (0.09),,,,,,,
CLN,TG,Triacylglycerol (mmol/L),MOD,163,2.4 (0.17),,,,,,,
CLN,TG,Triacylglycerol (mmol/L),SIRD,85,2.39 (0.12),,,,,,,
CLN,UCR,Urine creatinine (mmol/L),SIDD,267,13.22 (0.39),0.0757049368872841,0.0783782813145483,0.721184101668926,0.144254190260563,0.269542566145564,0.669902849881065,0.394280104250762
CLN,UCR,Urine creatinine (mmol/L),MARD,310,12.88 (0.34),,,,,,,
CLN,UCR,Urine creatinine (mmol/L),MOD,163,14.7 (0.56),,,,,,,
CLN,UCR,Urine creatinine (mmol/L),SIRD,85,13.9 (0.65),,,,,,,
CLN,UMA,Urine microalbumin (mg/L),SIDD,268,41.71 (5.68),8.38289583879943e-05,0.0005558882096891,0.154977455292307,0.022595341976968,0.0009985550211311,0.647749227961611,0.0179819447137276
CLN,UMA,Urine microalbumin (mg/L),MARD,310,26.05 (2.34),,,,,,,
CLN,UMA,Urine microalbumin (mg/L),MOD,163,52.47 (7.45),,,,,,,
CLN,UMA,Urine microalbumin (mg/L),SIRD,85,58.99 (11.49),,,,,,,
CLN,UMACRR,Urine microalbumin creatinine ratio (mg/mmol),SIDD,267,3.25 (0.41),0.0023237504530191,0.0067586008063894,0.218122295146067,0.0961116945404176,0.0110647518358744,0.521566370018889,0.060557807601308
CLN,UMACRR,Urine microalbumin creatinine ratio (mg/mmol),MARD,310,2.13 (0.21),,,,,,,
CLN,UMACRR,Urine microalbumin creatinine ratio (mg/mmol),MOD,163,3.96 (0.54),,,,,,,
CLN,UMACRR,Urine microalbumin creatinine ratio (mg/mmol),SIRD,85,5.07 (1.42),,,,,,,
